Image name, L1_distance, L2_distance 
ProstateX-0301ADC0.jpg, 10813338, 51357.9710853145 
ProstateX-0301ADC1.jpg, 10844877, 51362.10208899165 
ProstateX-0301ADC10.jpg, 12466088, 54885.10358922537 
ProstateX-0301ADC11.jpg, 8234149, 44996.0303915801 
ProstateX-0301ADC12.jpg, 8993513, 47085.44570246734 
ProstateX-0301ADC13.jpg, 8091123, 44596.70116723882 
ProstateX-0301ADC14.jpg, 8724026, 46374.08461630267 
ProstateX-0301ADC15.jpg, 8595697, 46003.55200416594 
ProstateX-0301ADC16.jpg, 8469411, 45550.817171594186 
ProstateX-0301ADC17.jpg, 6787324, 40580.326095289085 
ProstateX-0301ADC18.jpg, 7478606, 42705.44787260754 
ProstateX-0301ADC2.jpg, 9129091, 47293.23794159161 
ProstateX-0301ADC3.jpg, 9773445, 48879.1117042853 
ProstateX-0301ADC4.jpg, 10892836, 51560.984494092045 
ProstateX-0301ADC5.jpg, 11150923, 52202.51632823843 
ProstateX-0301ADC6.jpg, 12046396, 54045.2228971257 
ProstateX-0301ADC7.jpg, 11589451, 53379.35210359901 
ProstateX-0301ADC8.jpg, 12414777, 54901.482448108814 
ProstateX-0301ADC9.jpg, 12164977, 54519.0103083319 
ProstateX-0302ADC0.jpg, 12870990, 55738.70696383259 
ProstateX-0302ADC1.jpg, 11161755, 52037.13636433119 
ProstateX-0302ADC10.jpg, 7334532, 42114.70168480361 
ProstateX-0302ADC11.jpg, 9186976, 47338.3223192373 
ProstateX-0302ADC12.jpg, 7462734, 42316.656436916186 
ProstateX-0302ADC13.jpg, 7651349, 42968.60499248259 
ProstateX-0302ADC14.jpg, 7430109, 42272.652235221765 
ProstateX-0302ADC15.jpg, 9640571, 48413.93984174393 
ProstateX-0302ADC17.jpg, 8204225, 44534.489499712465 
ProstateX-0302ADC18.jpg, 8317095, 44950.95225910125 
ProstateX-0302ADC19.jpg, 9048116, 46823.36239528298 
ProstateX-0302ADC2.jpg, 11150992, 52247.94824679721 
ProstateX-0302ADC20.jpg, 9459489, 47773.38452527725 
ProstateX-0302ADC21.jpg, 8659918, 45803.47325258206 
ProstateX-0302ADC22.jpg, 6230992, 38325.43346134522 
ProstateX-0302ADC3.jpg, 10561927, 50533.69775704129 
ProstateX-0302ADC4.jpg, 10903052, 51440.14372063904 
ProstateX-0302ADC5.jpg, 8791549, 46173.788441062534 
ProstateX-0302ADC6.jpg, 5097914, 34758.970065293935 
ProstateX-0302ADC7.jpg, 5917888, 37656.63128852606 
ProstateX-0302ADC8.jpg, 5572102, 36402.678747586695 
ProstateX-0302ADC9.jpg, 6006529, 37938.25250324532 
ProstateX-0303ADC0.jpg, 14591922, 59895.13621321852 
ProstateX-0303ADC1.jpg, 14435355, 59859.87899252721 
ProstateX-0303ADC10.jpg, 14584752, 59706.6363313158 
