Image name, L1_distance, L2_distance 
ProstateX-03010.jpg, 8362339, 37447.66634918657 
ProstateX-03010_b.jpg, 8267590, 36970.73039581447 
ProstateX-03011.jpg, 8661504, 39242.04574178059 
ProstateX-030110.jpg, 9826440, 42781.318025512024 
ProstateX-030110_b.jpg, 9618967, 42101.35032276281 
ProstateX-030111.jpg, 10456079, 44483.521679381454 
ProstateX-030111_b.jpg, 10262271, 43768.75080465514 
ProstateX-030112.jpg, 10356664, 44343.39026281144 
ProstateX-030112_b.jpg, 10267557, 43783.74359279937 
ProstateX-030113.jpg, 9887672, 43093.34370874463 
ProstateX-030113_b.jpg, 9919247, 43096.344659379174 
ProstateX-030114.jpg, 9790403, 42997.57417576019 
ProstateX-030114_b.jpg, 10008487, 43549.60937827112 
ProstateX-030115.jpg, 10024960, 45542.652711496725 
ProstateX-030115_b.jpg, 10520499, 45990.51794663765 
ProstateX-030116.jpg, 9695889, 44935.91818356447 
ProstateX-030116_b.jpg, 9553196, 44354.753657302615 
ProstateX-030117.jpg, 9337774, 44190.012966732655 
ProstateX-030117_b.jpg, 8610062, 41822.746633859424 
ProstateX-030118.jpg, 9893196, 45762.58314387421 
ProstateX-030118_b.jpg, 10082538, 46088.31185886504 
ProstateX-03011_b.jpg, 8673697, 39094.676479029724 
ProstateX-03012.jpg, 9028847, 40827.98463064274 
ProstateX-03012_b.jpg, 9120239, 41043.347853214895 
ProstateX-03013.jpg, 9036914, 41219.37173223289 
ProstateX-03013_b.jpg, 9197098, 41960.364631399476 
ProstateX-03014.jpg, 9176373, 41872.56752337979 
ProstateX-03014_b.jpg, 9263548, 42365.75211181786 
ProstateX-03015.jpg, 8295611, 39049.33614032382 
ProstateX-03015_b.jpg, 8282856, 38924.92602433561 
ProstateX-03016.jpg, 7895733, 37999.68911714937 
ProstateX-03016_b.jpg, 7933270, 38133.47851953714 
ProstateX-03017.jpg, 9389835, 42633.34888323928 
ProstateX-03017_b.jpg, 9403066, 42627.753658854694 
ProstateX-03018.jpg, 9861316, 44020.814258711755 
ProstateX-03018_b.jpg, 9810598, 43672.44882073823 
ProstateX-03019.jpg, 9802639, 43881.999145435475 
ProstateX-03019_b.jpg, 9765241, 43424.471430289166 
ProstateX-03020.jpg, 8431007, 38198.41681274238 
ProstateX-03020_b.jpg, 8555045, 38543.90279927553 
ProstateX-03021.jpg, 8404240, 38492.20653586905 
ProstateX-030210.jpg, 9464072, 42020.81170087032 
ProstateX-030210_b.jpg, 9750008, 42920.57830458485 
ProstateX-030211.jpg, 9731458, 43444.080678499806 
ProstateX-030211_b.jpg, 9907489, 43934.14554762616 
ProstateX-030212.jpg, 9499573, 42762.996936603966 
ProstateX-030212_b.jpg, 9189659, 42786.082982670894 
