Image name, L1_distance, L2_distance 
ProstateX-03010.jpg, 8484202, 45414.91349766066 
ProstateX-03010_b.jpg, 10023290, 49411.016261558514 
ProstateX-03011.jpg, 9455703, 48146.828026361196 
ProstateX-030110.jpg, 12598864, 55629.99669243204 
ProstateX-030110_b.jpg, 11078607, 52357.00248295351 
ProstateX-030111.jpg, 9561473, 48605.08857105396 
ProstateX-030111_b.jpg, 9571521, 48665.34749696132 
ProstateX-030112.jpg, 9697378, 48976.89018302407 
ProstateX-030112_b.jpg, 9678783, 48944.60500402471 
ProstateX-030113.jpg, 9297037, 47936.927008309576 
ProstateX-030113_b.jpg, 9747591, 49093.9880738976 
ProstateX-030114.jpg, 10652374, 51418.54951279742 
ProstateX-030114_b.jpg, 10897836, 51976.515523840186 
ProstateX-030115.jpg, 10432281, 50869.053647576344 
ProstateX-030115_b.jpg, 10694382, 51444.92503639207 
ProstateX-030116.jpg, 11043351, 52279.859133322076 
ProstateX-030116_b.jpg, 10987957, 52149.498300558946 
ProstateX-030117.jpg, 10058474, 49768.745352881866 
ProstateX-030117_b.jpg, 10161818, 50012.66061708775 
ProstateX-030118.jpg, 10765371, 51439.85065102736 
ProstateX-030118_b.jpg, 10908968, 51788.36187793547 
ProstateX-03011_b.jpg, 10808384, 51504.12595122841 
ProstateX-03012.jpg, 9444686, 48165.12914962442 
ProstateX-03012_b.jpg, 10874075, 51702.863237929094 
ProstateX-03013.jpg, 8535272, 45713.68994076063 
ProstateX-03013_b.jpg, 10544071, 50929.99955821716 
ProstateX-03014.jpg, 10832503, 51593.11456967877 
ProstateX-03014_b.jpg, 11239483, 52487.87363763177 
ProstateX-03015.jpg, 10644145, 51162.74850904709 
ProstateX-03015_b.jpg, 10514839, 50841.778814278325 
ProstateX-03016.jpg, 10731095, 51456.8087137164 
ProstateX-03016_b.jpg, 10088306, 49829.33936949194 
ProstateX-03017.jpg, 10220890, 50231.03249984018 
ProstateX-03017_b.jpg, 8544272, 45758.449842624694 
ProstateX-03018.jpg, 10682798, 51377.57746332538 
ProstateX-03018_b.jpg, 10725772, 51449.84415914202 
ProstateX-03019.jpg, 10848559, 51822.91706378559 
ProstateX-03019_b.jpg, 10387842, 50734.32019846132 
ProstateX-03020.jpg, 8361590, 44958.69604425822 
ProstateX-03020_b.jpg, 8195825, 44538.80271179278 
ProstateX-03021.jpg, 11495793, 52970.73576041775 
ProstateX-030210.jpg, 8429010, 45377.03423539269 
ProstateX-030210_b.jpg, 9193863, 47470.80152051364 
ProstateX-030211.jpg, 9459835, 48151.92626468852 
ProstateX-030211_b.jpg, 9283385, 47684.663163327474 
ProstateX-030212.jpg, 9690792, 48712.00940219978 
ProstateX-030212_b.jpg, 8722079, 46090.598379712974 
ProstateX-030213.jpg, 9793336, 48955.784663306134 
ProstateX-030213_b.jpg, 9616849, 48481.884462136986 
ProstateX-030214.jpg, 8603977, 45763.8525148397 
ProstateX-030214_b.jpg, 7728403, 43188.374535284376 
ProstateX-030215.jpg, 10302829, 50261.493302527335 
ProstateX-030215_b.jpg, 9879130, 49110.67110109574 
ProstateX-030216.jpg, 8620889, 45939.70880404011 
ProstateX-030216_b.jpg, 8449435, 45400.62745161128 
ProstateX-030217.jpg, 10219706, 50123.91379371726 
ProstateX-030217_b.jpg, 9971804, 49463.291580726815 
ProstateX-030218.jpg, 9589463, 48537.31219381642 
ProstateX-030218_b.jpg, 9746535, 48945.88958227238 
ProstateX-030219.jpg, 9582555, 48547.08060223601 
ProstateX-030219_b.jpg, 9949947, 49491.49184455849 
ProstateX-03021_b.jpg, 9806964, 48865.90463707799 
ProstateX-03022.jpg, 8267999, 44838.73942251276 
ProstateX-030220.jpg, 9022278, 46893.040208542676 
ProstateX-030220_b.jpg, 9136205, 47274.265102696205 
ProstateX-030221.jpg, 8606460, 45817.04820260686 
ProstateX-030221_b.jpg, 8699586, 46093.49782778478 
ProstateX-030222.jpg, 8272247, 44874.62834386487 
ProstateX-030222_b.jpg, 7533887, 42669.460284845416 
ProstateX-03022_b.jpg, 9191603, 47421.77562048895 
ProstateX-03023.jpg, 8695927, 46015.32213295915 
ProstateX-03023_b.jpg, 9251070, 47454.62656053675 
ProstateX-03024.jpg, 10056492, 49597.22806770556 
ProstateX-03024_b.jpg, 8988576, 46791.94490507955 
ProstateX-03025.jpg, 8785014, 46271.009282270905 
ProstateX-03025_b.jpg, 8907980, 46597.49909598153 
