Image name, L1_distance, L2_distance 
ProstateX-03010.jpg, 8844883, 39838.05787183908 
ProstateX-03010_b.jpg, 9072205, 40952.015127463506 
ProstateX-03011.jpg, 8504925, 39251.71498164125 
ProstateX-030110.jpg, 7902242, 38442.41342579833 
ProstateX-030110_b.jpg, 8244788, 39356.692696414415 
ProstateX-030111.jpg, 8239719, 39725.85670567722 
ProstateX-030111_b.jpg, 8280392, 39918.604459574985 
ProstateX-030112.jpg, 8741218, 41437.31583971143 
ProstateX-030112_b.jpg, 8528348, 40611.84285402473 
ProstateX-030113.jpg, 8192646, 39490.02689287512 
ProstateX-030113_b.jpg, 8090230, 38981.28840867116 
ProstateX-030114.jpg, 7765215, 36888.09847362697 
ProstateX-030114_b.jpg, 7856196, 37228.988490153744 
ProstateX-030115.jpg, 7633490, 36960.61801431356 
ProstateX-030115_b.jpg, 7932842, 37818.75312592947 
ProstateX-030116.jpg, 8383395, 39795.28935690756 
ProstateX-030116_b.jpg, 8942567, 41160.57940554287 
ProstateX-030117.jpg, 9161907, 42190.44414319432 
ProstateX-030117_b.jpg, 9340922, 42604.68441380595 
ProstateX-030118.jpg, 9568422, 43488.31613203712 
ProstateX-030118_b.jpg, 9830195, 44235.28253555074 
ProstateX-03011_b.jpg, 8619705, 39631.04950666838 
ProstateX-03012.jpg, 8587610, 39732.2526419029 
ProstateX-03012_b.jpg, 8728428, 40135.75869471013 
ProstateX-03013.jpg, 8646443, 40326.37527723016 
ProstateX-03013_b.jpg, 8903488, 41076.26976734864 
ProstateX-03014.jpg, 9333607, 42589.34504074934 
ProstateX-03014_b.jpg, 9310502, 42459.89931688487 
ProstateX-03015.jpg, 9207835, 42303.6699235421 
ProstateX-03015_b.jpg, 9259056, 42657.65471752989 
ProstateX-03016.jpg, 8206814, 39412.74704965387 
ProstateX-03016_b.jpg, 8082226, 39188.0956414062 
ProstateX-03017.jpg, 7731569, 37785.648505748846 
ProstateX-03017_b.jpg, 7806222, 38169.39593443941 
ProstateX-03018.jpg, 7464102, 36620.087656913114 
ProstateX-03018_b.jpg, 7703964, 37304.49098969185 
ProstateX-03019.jpg, 7421174, 36265.45168614338 
ProstateX-03019_b.jpg, 7186712, 35517.93639838891 
ProstateX-03020.jpg, 8206476, 38272.213366880154 
ProstateX-03020_b.jpg, 8299162, 38593.87088645035 
ProstateX-03021.jpg, 8425302, 38824.163274950304 
ProstateX-030210.jpg, 9263096, 42438.62066561542 
ProstateX-030210_b.jpg, 8839833, 40908.13399557599 
ProstateX-030211.jpg, 8773438, 41351.360050184565 
ProstateX-030211_b.jpg, 8512418, 40332.065878157046 
ProstateX-030212.jpg, 8746483, 41410.01085486455 
ProstateX-030212_b.jpg, 8614626, 40828.79067520859 
ProstateX-030213.jpg, 8601312, 40854.17256535738 
ProstateX-030213_b.jpg, 8456398, 40575.41033680374 
ProstateX-030214.jpg, 9302489, 43087.13502891553 
ProstateX-030214_b.jpg, 9347122, 42897.216669616224 
ProstateX-030215.jpg, 8908108, 42152.39288581373 
ProstateX-030215_b.jpg, 8894477, 41880.8427446249 
ProstateX-030216.jpg, 8983748, 42037.642250725716 
ProstateX-030216_b.jpg, 8590760, 40605.45948514805 
ProstateX-030217.jpg, 7765154, 38087.83669362176 
ProstateX-030217_b.jpg, 7632596, 37467.10784141204 
ProstateX-030218.jpg, 9127794, 42659.48942498023 
ProstateX-030218_b.jpg, 8677188, 41182.35702336621 
ProstateX-030219.jpg, 8171915, 39924.63621625124 
ProstateX-030219_b.jpg, 7973808, 38989.8262371096 
ProstateX-03021_b.jpg, 8539387, 39457.14648831058 
ProstateX-03022.jpg, 8379430, 39985.50117229994 
ProstateX-030220.jpg, 8867934, 41994.07972559942 
ProstateX-030220_b.jpg, 8811329, 41557.51726222345 
ProstateX-030221.jpg, 9608631, 43670.03509272691 
ProstateX-030221_b.jpg, 9446401, 43118.52405869199 
ProstateX-030222.jpg, 9246127, 42268.0049328094 
ProstateX-030222_b.jpg, 9198977, 42007.82994871313 
ProstateX-03022_b.jpg, 8277917, 39824.41702021512 
ProstateX-03023.jpg, 8318885, 40025.94080093558 
ProstateX-03023_b.jpg, 8293217, 39628.196287492065 
ProstateX-03024.jpg, 7717577, 38027.635227555234 
ProstateX-03024_b.jpg, 7980388, 38625.38670356583 
ProstateX-03025.jpg, 8042072, 38878.816622937484 
ProstateX-03025_b.jpg, 8184339, 39122.39702523351 
ProstateX-03026.jpg, 8503088, 40593.18482208559 
ProstateX-03026_b.jpg, 9065873, 42095.71057720727 
ProstateX-03027.jpg, 8501453, 40592.1068558901 
ProstateX-03027_b.jpg, 8779113, 41408.572723531535 
ProstateX-03028.jpg, 9684326, 44007.97159606427 
ProstateX-03028_b.jpg, 9748607, 44244.67562317527 
ProstateX-03029.jpg, 9036096, 41480.17080485566 
ProstateX-03029_b.jpg, 8316161, 38995.42830896976 
ProstateX-03030.jpg, 8705347, 41845.79679011979 
ProstateX-03030_b.jpg, 8468759, 41099.30190404698 
