Image name, L1_distance, L2_distance 
ProstateX-03010.jpg, 10208789, 49201.994603877596 
ProstateX-03010_b.jpg, 11021651, 51121.76652855416 
ProstateX-03011.jpg, 9932298, 48546.875203250725 
ProstateX-030110.jpg, 8230619, 44364.009275537755 
ProstateX-030110_b.jpg, 9612076, 48113.258921008455 
ProstateX-030111.jpg, 7798808, 43115.077965834644 
ProstateX-030111_b.jpg, 9765273, 48509.46063398355 
ProstateX-030112.jpg, 9310177, 47412.25838324937 
ProstateX-030112_b.jpg, 11893958, 53549.00036415246 
ProstateX-030113.jpg, 10221674, 49631.078348147945 
ProstateX-030113_b.jpg, 10017941, 49120.20218810179 
ProstateX-030114.jpg, 10372664, 49994.55678371397 
ProstateX-030114_b.jpg, 9681122, 48212.48357012943 
ProstateX-030115.jpg, 10850178, 50921.80701821176 
ProstateX-030115_b.jpg, 12020737, 53530.75031232049 
ProstateX-030116.jpg, 12390664, 53929.65996555142 
ProstateX-030116_b.jpg, 12079771, 53547.061870844045 
ProstateX-030117.jpg, 12507989, 54258.029884985684 
ProstateX-030117_b.jpg, 13013854, 55557.33505127833 
ProstateX-030118.jpg, 11155617, 51881.780414708206 
ProstateX-030118_b.jpg, 12804061, 54818.01281513222 
ProstateX-03011_b.jpg, 9595584, 47613.35308503277 
ProstateX-03012.jpg, 11563601, 52338.71623377861 
ProstateX-03012_b.jpg, 11380915, 52078.839973639966 
ProstateX-03013.jpg, 10803756, 50634.70375147859 
ProstateX-03013_b.jpg, 7089887, 40923.328273736486 
ProstateX-03014.jpg, 9306770, 47305.108413362716 
ProstateX-03014_b.jpg, 9954264, 49095.24484102304 
ProstateX-03015.jpg, 12399508, 54652.90585138177 
ProstateX-03015_b.jpg, 11016592, 51539.384066944374 
ProstateX-03016.jpg, 10199006, 49347.64363168722 
ProstateX-03016_b.jpg, 11139371, 51477.578662948006 
ProstateX-03017.jpg, 11990002, 53564.62114119729 
ProstateX-03017_b.jpg, 9531006, 47652.91302743202 
ProstateX-03018.jpg, 10349122, 49625.323213053234 
ProstateX-03018_b.jpg, 11112878, 51523.300554215275 
ProstateX-03019.jpg, 10513120, 50172.02441600299 
ProstateX-03019_b.jpg, 12121508, 53552.407546253235 
ProstateX-03020.jpg, 11958895, 53202.95767154304 
ProstateX-03020_b.jpg, 10007447, 48679.350108644634 
ProstateX-03021.jpg, 10912489, 50508.135473406655 
ProstateX-030210.jpg, 11517308, 52608.51311337358 
ProstateX-030210_b.jpg, 12160807, 53954.09840781328 
ProstateX-030211.jpg, 11766439, 53127.64145903712 
ProstateX-030211_b.jpg, 11498037, 52725.94610815438 
ProstateX-030212.jpg, 11754333, 53160.789318820316 
ProstateX-030212_b.jpg, 11104200, 51724.408667475356 
ProstateX-030213.jpg, 11380840, 52208.59224303984 
ProstateX-030213_b.jpg, 11965331, 53512.7039589666 
ProstateX-030214.jpg, 11817263, 53414.15597947795 
ProstateX-030214_b.jpg, 11989708, 53799.881356746504 
ProstateX-030215.jpg, 12869764, 55490.85829215476 
ProstateX-030215_b.jpg, 12283599, 53891.07856593705 
ProstateX-030216.jpg, 12714342, 54916.123260842076 
ProstateX-030216_b.jpg, 12263194, 54127.63709972938 
ProstateX-030217.jpg, 12366522, 53985.065045806885 
ProstateX-030217_b.jpg, 11697733, 52809.04465146099 
ProstateX-030218.jpg, 12729893, 55374.08952750375 
ProstateX-030218_b.jpg, 12602942, 55100.667074001925 
ProstateX-030219.jpg, 13096570, 55812.323657056244 
ProstateX-030219_b.jpg, 12770648, 55190.991148918496 
ProstateX-03021_b.jpg, 11256481, 51389.17322744159 
ProstateX-03022.jpg, 10870145, 50360.79507910891 
ProstateX-030220.jpg, 11639829, 52911.14229536157 
ProstateX-030220_b.jpg, 11334837, 52193.23506930759 
ProstateX-030221.jpg, 11490790, 52626.89460722531 
ProstateX-030221_b.jpg, 13049846, 55705.84592302678 
ProstateX-030222.jpg, 11000146, 51591.934834816966 
ProstateX-030222_b.jpg, 11102515, 51753.49627802937 
